LS360,LS370,LS380,LS390,LS400,LS410,LS420,LS430,LS440,LS450,LS460,LS470,LS480,LS490,LS500,LS510,LS520,LS530,LS540,LS550,LS560,LS570,LS580,LS590,LS600,LS610,LS620,LS630,LS640,LS650,LS660,LS670,LS680,LS690,LS700,D31,D32,D33,D58,D100,D107,D110,D120,D128,D150,D160,D161,D162,D170,D180,D200,D202,D210,D220,D221,D260,D300,D301,D302,D303,D304,D306,D307,D308,D310,D311,D312,D314,D316,D317,D318,D320,D321,D324,D326,D327,D328,D350,D351,D355,D357,D358,D359,D360,D361,D362,D363,D366,D367,D368,D370,D372,D376,D377,D378,D380,D500,D501,D503,D504,D506,D508,D510,D511,D514,D516,D520,D524,D526,D527,D530,D551,D555,D560,D561,D565,D570,D575,D576,D580,D581,D980
3.117,3.141,3.093,2.945,2.763,2.582,2.388,2.236,2.157,2.101,2.142,2.213,2.251,2.241,2.206,2.164,2.098,2.033,2.008,1.954,1.888,1.854,1.861,1.883,1.912,1.927,1.956,1.987,2.057,2.239,2.736,3.663,6.053,8.7,13.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752,0,0,0,1.646,0,0,0,0,0.654,0,0,0.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.027,3.799,3.414,3.088,2.908,2.685,2.574,2.482,2.422,2.382,2.341,2.282,2.205,2.114,2.025,1.947,1.914,1.908,1.927,1.931,1.957,2.02,2.265,2.575,2.922,3.228,3.422,3.656,3.977,4.666,5.709,8.203,14.423,19.115,26.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.37,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,1.8,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.475,16.139,15.238,14.385,13.476,12.623,11.955,11.397,11.056,10.924,10.955,11.089,11.302,11.711,12.38,13.035,13.502,13.79,13.787,13.539,13.202,13.121,13.19,13.317,13.446,13.575,13.719,13.954,14.659,16.442,19.793,24.79,32.914,39.44,49.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0,0,0.026,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0.073,0,0,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.354,36.926,39.151,40.48,40.98,40.509,39.546,38.619,37.887,37.816,38.11,38.772,39.762,41.273,42.698,43.156,43.059,42.791,42.35,41.233,39.945,38.925,38.068,37.402,37.062,36.512,35.671,35.797,36.948,40.41,45.374,53.047,62.854,65.447,69.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0.0105,0,0,0.0655,0,0,0,0,0,0,0,0,0,0,0,0,0
33.256,36.024,37.641,38.38,38.839,38.871,38.802,38.777,38.817,39.047,39.464,39.829,39.988,40.148,40.234,40.05,39.59,39.236,38.773,38.128,37.601,37.508,37.502,37.526,37.505,37.242,36.608,36.818,37.894,41.034,45.441,52.352,61.552,64.434,69.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.0016,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0,0,0,0,0.0235,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0
24.321,24.733,24.595,24.685,25.05,25.637,26.407,27.29,28.145,29.11,29.898,30.307,30.354,30.146,29.515,28.508,27.952,27.728,27.299,27.161,27.948,30.579,33.439,35.183,35.908,36.097,36.162,36.347,38.062,41.408,46.702,53.229,62.08,65.74,70.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0.0066,0,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0.074,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0
1.731,1.705,1.676,1.635,1.601,1.553,1.531,1.482,1.468,1.46,1.473,1.473,1.474,1.488,1.473,1.454,1.46,1.442,1.421,1.434,1.406,1.342,1.345,1.366,1.377,1.396,1.428,1.463,1.509,1.625,1.902,2.373,4.318,7.047,11.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,5.8,0,0
33.136,33.934,33.963,34.178,35.129,36.36,37.662,38.599,39.207,39.476,39.674,39.8,39.804,39.838,39.843,39.772,39.695,39.563,39.122,39.047,39.287,39.641,39.305,38.599,38.168,38.053,37.921,37.87,38.098,39.343,41.348,45.208,52.074,56.205,62.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.0016,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.843,45.594,45.499,45.633,46.096,47.077,47.768,48.849,49.898,51.128,52.816,54.397,55.967,57.345,58.2,58.661,59.164,60.084,60.471,60.945,62.815,67.532,72.525,75.577,77.087,77.643,77.94,78.208,78.616,79.364,80.167,80.89,81.915,82.282,82.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036,0,0,0,0,0.0082,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,0,0
22.641,21.56,20.931,20.778,20.896,20.972,21.032,21.087,21.21,21.516,21.896,22.049,21.961,21.761,21.47,20.898,20.349,20.582,21.037,21.089,21.333,25.022,33.566,45.689,59.271,70.536,77.162,80.531,82.1,82.914,83.165,83.161,83.414,83.263,82.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
1.783,1.791,1.78,1.735,1.705,1.695,1.668,1.638,1.626,1.602,1.613,1.628,1.646,1.655,1.635,1.638,1.618,1.587,1.583,1.556,1.521,1.482,1.479,1.486,1.505,1.51,1.555,1.619,1.716,1.885,2.303,3.2,5.823,9.108,14.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,3.6,0,0
2.655,2.514,2.198,2.022,1.97,1.932,1.934,1.92,1.893,1.871,1.859,1.846,1.827,1.837,1.847,1.824,1.809,1.783,1.75,1.705,1.637,1.559,1.528,1.516,1.52,1.538,1.582,1.652,1.751,1.919,2.207,2.796,5.294,8.002,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.65,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20.74,19.36,18.114,17.178,16.538,15.797,15.271,15.037,15.022,15.386,16.286,17.265,18.418,19.723,21.395,22.896,23.814,24.588,24.563,24.099,23.592,23.991,25.123,26.107,26.64,26.88,27.057,28.324,31.267,36.249,42.478,51.765,64.306,67.521,72.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0,0,0,0,0,0,0.018,0,0,0,0,0,0.0953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.0308,0,0,0.2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.065,8.88,7.816,6.839,6.151,5.467,5.106,4.956,5.044,5.386,6.271,7.396,9.114,11.221,14.13,18.04,22.335,26.652,29.867,31.819,32.607,32.758,32.701,32.517,32.42,32.479,32.643,33.462,35.107,37.977,41.672,47.574,56.816,60.783,66.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0,0.71,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0
3.545,3.463,3.31,3.257,3.32,3.411,3.527,3.624,3.676,3.695,3.658,3.549,3.424,3.258,3.059,2.825,2.562,2.365,2.173,2.036,1.896,1.8,1.767,1.767,1.794,1.854,1.93,2.044,2.196,2.545,2.993,4.44,8.921,13.279,20.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.03,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0.42,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.545,3.463,3.31,3.257,3.32,3.411,3.527,3.624,3.676,3.695,3.658,3.549,3.424,3.258,3.059,2.825,2.562,2.365,2.173,2.036,1.896,1.8,1.767,1.767,1.794,1.854,1.93,2.044,2.196,2.545,2.993,4.44,8.921,13.279,20.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.03,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0.42,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.553,5.327,4.991,4.881,4.855,4.813,4.748,4.643,4.561,4.48,4.481,4.535,4.645,4.773,4.827,4.704,4.413,3.988,3.638,3.327,3.052,2.865,2.771,2.789,2.926,3.12,3.346,3.534,3.81,4.251,5.376,7.439,11.856,16.538,24.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.005,0,0,0,0,0,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0,0.28,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.153,2.064,1.996,1.999,1.988,1.943,1.918,1.9,1.871,1.859,1.863,1.878,1.898,1.925,1.925,1.883,1.841,1.79,1.755,1.729,1.686,1.623,1.608,1.62,1.649,1.694,1.753,1.838,1.945,2.158,2.363,3.195,6.307,9.443,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,3.6,0,0
2.262,2.071,1.896,1.76,1.701,1.685,1.668,1.653,1.64,1.626,1.638,1.639,1.631,1.627,1.613,1.622,1.614,1.606,1.617,1.598,1.558,1.52,1.515,1.52,1.521,1.53,1.574,1.63,1.708,1.86,2.318,3.343,6.234,9.973,16.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0.065,0,0,0,1,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,3.9,0,0
2.262,2.071,1.896,1.76,1.701,1.685,1.668,1.653,1.64,1.626,1.638,1.639,1.631,1.627,1.613,1.622,1.614,1.606,1.617,1.598,1.558,1.52,1.515,1.52,1.521,1.53,1.574,1.63,1.708,1.86,2.318,3.343,6.234,9.973,16.278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0.065,0,0,0,1,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,3.9,0,0
4.561,4.33,4.085,4.039,4.042,4.077,4.102,4.078,4.051,3.996,3.984,3.995,4.024,4.031,3.992,3.821,3.526,3.144,2.853,2.62,2.406,2.26,2.189,2.208,2.308,2.451,2.638,2.791,2.973,3.335,4.076,5.578,8.916,12.637,18.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0.42,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.027,4.98,4.692,4.429,4.372,4.291,4.318,4.368,4.447,4.546,4.622,4.558,4.394,4.127,3.882,3.605,3.293,3.063,2.825,2.588,2.396,2.293,2.271,2.25,2.228,2.207,2.213,2.259,2.388,2.655,3.116,4.406,8.404,12.396,18.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0.29,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.108,1.953,1.73,1.644,1.59,1.524,1.517,1.501,1.477,1.463,1.462,1.457,1.448,1.455,1.457,1.442,1.453,1.449,1.461,1.454,1.422,1.364,1.356,1.358,1.368,1.386,1.421,1.461,1.515,1.639,1.908,2.241,4.84,7.842,12.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.3,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0
